FormPage,FormReferenceNumber,XPath
1,162,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/INTERIOR_FEATURE[@_Type='BathroomFloors']/@_ConditionDescription
1,163,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/INTERIOR_FEATURE[@_Type='BathroomWainscot']/@_ConditionDescription
1,164,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/ATTIC/@_ExistsIndicator
1,165,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/ATTIC/ATTIC_FEATURE[@_Type='DropStair']/@_ExistsIndicator
1,166,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/ATTIC/ATTIC_FEATURE[@_Type='Stairs']/@_ExistsIndicator
1,167,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/ATTIC/ATTIC_FEATURE[@_Type='Floor']/@_ExistsIndicator
1,168,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/ATTIC/ATTIC_FEATURE[@_Type='Scuttle']/@_ExistsIndicator
1,169,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/ATTIC/ATTIC_FEATURE[@_Type='Finished']/@_ExistsIndicator
1,170,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/ATTIC/ATTIC_FEATURE[@_Type='Heated']/@_ExistsIndicator
1,171,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/HEATING[@_Type='ForcedWarmAir']
1,172,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/HEATING[@_Type='HotWaterBaseboard']
1,173,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/HEATING[@_Type='Radiant']
1,174,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/HEATING[@_Type='Other']
1,175,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/HEATING[@_Type='Other']/@_TypeOtherDescription
1,176,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/HEATING/@_FuelDescription
1,177,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/COOLING/@_CentralizedIndicator
1,178,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/COOLING/@_IndividualIndicator
1,179,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/COOLING/@_OtherIndicator
1,180,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/COOLING/@_UnitDescription
1,181,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Fireplace']/@_ExistsIndicator
1,182,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Fireplace']/@_Count
1,183,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Patio']/@_ExistsIndicator
1,184,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Patio']/@_DetailedDescription
1,185,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Pool']/@_ExistsIndicator
1,186,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Pool']/@_DetailedDescription
1,187,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='WoodStove']/@_ExistsIndicator
1,188,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='WoodStove']/@_Count
1,189,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Fence']/@_ExistsIndicator
1,190,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Fence']/@_DetailedDescription
1,191,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Porch']/@_ExistsIndicator
1,192,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Porch']/@_DetailedDescription
1,193,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Other']/@_ExistsIndicator
1,194,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/AMENITY[@_Type='Other']/@_TypeOtherDescription
1,195,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/CAR_STORAGE/@_ExistsIndicator
1,196,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/CAR_STORAGE/CAR_STORAGE_LOCATION[@_Type='Driveway']/@_ExistsIndicator
1,197,/VALUATION_RESPONSE/PROPERTY/STRUCTURE/CAR_STORAGE/CAR_STORAGE_LOCATION[@_Type='Driveway']/@ParkingSpacesCount
